,o_Title,o_Author,Title,Author,Query,URLs,Match
0,Vliv chemické struktury plniva na lisování tablet léčiv,"RYSL, T.; ŘEHULA, M.; P. KLEMERA, R.A.D.Á.M.E.K.",Vliv chemické struktury plniva na lisování tablet léčiv,RYSL,RYSL Vliv chemické struktury plniva na lisování tablet léčiv pdf,['https://docplayer.cz/13129574-Vliv-chemicke-struktury-plniva-na-lisovani-tablet-leciv-tomas-rysl-a-milan-rehula-a-roman-adamek-a-a-petr-klemera-b-uvod.html'],1
1,Tubes for detection of cholinesterase inhibitors—Unique effects of Neusilin on the stability of butyrylcholinesterase-impregnated carriers,"ZEMAN, J.; VETCHÝ, D.; PAVLOKOVÁ, S.; FRANC, A.; PITSCHMANN, V.; DOMINIK, M.; I. ŠEDĚNKOVÁ, M.U.R.B.A.N.O.V.Á.",Tubes for detection of cholinesterase inhibitors—Unique effects of Neusilin on the stability of butyrylcholinesterase-impregnated carriers,ZEMAN,ZEMAN Tubes for detection of cholinesterase inhibitors—Unique effects of Neusilin on the stability of butyrylcholinesterase-impregnated carriers pdf,['https://reader.elsevier.com/reader/sd/pii/S0141022919300699?token=91FF8C3D97BD2E21C7863209B3B3D612D6354F4FCC4B4D3484F11126C7D2C7184A673514EEF8D0856D57A466C8026790&originRegion=eu-west-1&originCreation=20230317192442'],1
2,"New method of preparing high-porosity rapidly saliva soluble compressed tablets using mannitol with camphor,a subliming material","KOIZUMI, K.-C.; WATANABE, Y.; MORITA, K.; M. MATSUMOTO, N.U.T.O.G.U.C.H.I.","New method of preparing high-porosity rapidly saliva soluble compressed tablets using mannitol with camphor,a subliming material",KOIZUMI,"KOIZUMI New method of preparing high-porosity rapidly saliva soluble compressed tablets using mannitol with camphor,a subliming material pdf",['https://reader.elsevier.com/reader/sd/pii/S0378517397049247?token=17728AE8DCA02666DA4893958EBD18BADFFBC6F60FC6474C1298F11E6A3A11572528AF7D0C64DCFCD6E1F7999F13416C&originRegion=eu-west-1&originCreation=20230317192506'],1
3,"Příprava a hodnocení pelet s anorganickým sorbentem. Brno,2017. Diplomová práce","DOMINIK, M.","Příprava a hodnocení pelet s anorganickým sorbentem. Brno,2017. Diplomová práce",DOMINIK,"DOMINIK Příprava a hodnocení pelet s anorganickým sorbentem. Brno,2017. Diplomová práce pdf",[],0
4,"Příprava a hodnocení pelet s obsahem Neusilinu pro detekci inhibitorů cholinesteráz. Brno,2018. Diplomová práce","BLAŽKOVÁ, Z.","Příprava a hodnocení pelet s obsahem Neusilinu pro detekci inhibitorů cholinesteráz. Brno,2018. Diplomová práce",BLAŽKOVÁ,"BLAŽKOVÁ Příprava a hodnocení pelet s obsahem Neusilinu pro detekci inhibitorů cholinesteráz. Brno,2018. Diplomová práce pdf",[],0
5,Metody farmaceutické technologie v přípravě pelet pro detekci inhibitorů acetylcholinesterasy,"VETCHÝ, D.; I. TUŠAROVÁ, H.L.E.Š.T.I.N.O.V.Á.",Metody farmaceutické technologie v přípravě pelet pro detekci inhibitorů acetylcholinesterasy,VETCHÝ,VETCHÝ Metody farmaceutické technologie v přípravě pelet pro detekci inhibitorů acetylcholinesterasy pdf,['https://www.prolekare.cz/casopisy/ceska-slovenska-farmacie/2012-5-4/metody-farmaceuticke-technologie-v-priprave-pelet-pro-detekci-inhibitoru-acetylcholinesterasy-39312/download?hl=cs'],1
6,Effect of the formulation parameters on the characteristics of pellets,"FEKETE, R.; ZELKÓ, R.; I. RÁCZ, S.M.A.R.T.O.N.",Effect of the formulation parameters on the characteristics of pellets,FEKETE,FEKETE Effect of the formulation parameters on the characteristics of pellets pdf,"['http://www.tjps.pharm.chula.ac.th/ojs/index.php/tjps/article/view/241/157', 'https://www.academia.edu/33602282/Physical_properties_of_chitosan_pellets_produced_by_extrusion%C3%81_spheronisation_influence_of_formulation_variables', 'https://www.pharmaexcipients.com/wp-content/uploads/attachments/1156-3051-1-PB.pdf?t=1459226257', 'https://doktori.bibl.u-szeged.hu/id/eprint/1057/1/final_dissertation.pdf']",0
7,Study of parameters important in the spheronisation process,"BAERT, L.; VERMEERSCH, H.; REMON, J.P.; D. L. MASSART, J.S.M.E.Y.E.R.S.-V.E.R.B.E.K.E.",Study of parameters important in the spheronisation process,BAERT,BAERT Study of parameters important in the spheronisation process pdf,['https://reader.elsevier.com/reader/sd/pii/0378517393902314?token=8D0BAE675A65191C093E529480284CC58165B24D51F82AA9E9D21352BC2C55B6244F17D615041D26E613E5A33A240198&originRegion=eu-west-1&originCreation=20230317193319'],1
8,Factors influencing the physical characteristics of pellets obtained by extrusion-spheronization,"SOUSA, J.J.; SOUSA, A.; J. M. NEWTON, F.P.O.D.C.Z.E.C.K.",Factors influencing the physical characteristics of pellets obtained by extrusion-spheronization,SOUSA,SOUSA Factors influencing the physical characteristics of pellets obtained by extrusion-spheronization pdf,['https://reader.elsevier.com/reader/sd/pii/S0378517301009085?token=637625919924D83E0F743AB66F4776F598C109BE9246F468DCDC9D90C1A53AF0F06F31DD8B9D163BEFD44445C95CAA70&originRegion=eu-west-1&originCreation=20230317193353'],1
9,"The influence of five selected processing and formulation variables on the particle size,Particle Size Distribution,and Friability of Pellets Produced in a Rotary Processor","VERTOMRNEN, J.a R.K.I.N.G.E.T.","The influence of five selected processing and formulation variables on the particle size,Particle Size Distribution,and Friability of Pellets Produced in a Rotary Processor",VERTOMRNEN,"VERTOMRNEN The influence of five selected processing and formulation variables on the particle size,Particle Size Distribution,and Friability of Pellets Produced in a Rotary Processor pdf",[],0
